2021/05/18 14:46:13 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 17.0, eltérés: 20,93%
2021/05/18 14:46:13 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/18 14:47:11 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 14:47:11 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:47:31 [TE34WS3224] kívánt: 21.0, jelenlegi: 15.0, eltérés: 28,57%
2021/05/18 14:47:31 [EEI23EE12D] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:47:48 [KD34AF24DS] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:47:48 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 17.0, eltérés: 20,93%
2021/05/18 14:47:48 [EEI23EE12D] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:48:06 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/18 14:48:06 [EEI23EE12D] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:48:27 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 14:48:27 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:49:04 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:49:04 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:49:24 [KD34AF24DS] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:49:24 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:49:24 [EEI23EE12D] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:49:45 [KD34AF24DS] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:49:45 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:49:45 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/18 14:50:05 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 16.0, eltérés: 25,58%
2021/05/18 14:50:05 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/18 14:50:05 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:50:44 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 17.0, eltérés: 20,93%
2021/05/18 14:50:44 [EEI23EE12D] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:51:05 [TE34WS3224] kívánt: 21.0, jelenlegi: 15.0, eltérés: 28,57%
2021/05/18 14:51:05 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/18 14:51:25 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:51:25 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:51:25 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:51:46 [EEI23EE12D] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:52:06 [KD34AF24DS] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:52:06 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:52:25 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/18 14:52:45 [KD34AF24DS] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:53:06 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 14:53:26 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/18 14:53:45 [TE34WS3224] kívánt: 21.0, jelenlegi: 15.0, eltérés: 28,57%
